centroid,size,center_lat,center_lon,hub,prop,hub_color
1,15006,40.7311518086737,-73.9979621943908,A,0.4188695045359386,#E41A1C
6,13221,40.7667312996144,-73.9717391623195,F,0.36904396371249126,#377EB8
5,5003,40.6888039463141,-73.964320713141,E,0.13965108164689463,#4DAF4A
2,1699,40.7804091283863,-73.8775227915194,B,0.04742498255408235,#984EA3
3,647,40.6631223765432,-73.7934344135802,C,0.018060013956734126,#FF7F00
4,249,40.6992662650602,-74.1767558232932,D,0.006950453593859037,#FFFF33
